wellName,MD,CALI,DT,GR,NPHI,RHOB,PHIF,SW,RACEHM_LOG
15/9-F-1 A,3445.2,8.547,84.4832,25.7825,0.2444,2.2621,0.2217,0.8186,-0.42562143558691756
15/9-F-1 A,3445.3,8.5778,84.8795,27.7977,0.2478,2.2744,0.2146,0.8441,-0.4810914263085858
15/9-F-1 A,3445.4,8.469,85.2759,28.4139,0.2511,2.2867,0.2077,0.8832,-0.4496493276983845
15/9-F-1 A,3445.5,8.5236,85.665,27.8993,0.2445,2.3075,0.1957,0.9666,-0.40516564441668207
15/9-F-1 A,3445.6,8.5781,86.0438,28.4738,0.2371,2.324,0.1863,1.0,-0.3491099221436876
15/9-F-1 A,3445.7,8.5781,86.4224,28.1596,0.2332,2.3293,0.1833,1.0,-0.3141687253739364
15/9-F-1 A,3445.8,8.5625,86.7645,29.2281,0.2349,2.3243,0.1861,1.0,-0.29370904274123666
15/9-F-1 A,3445.9,8.5471,87.0416,30.0803,0.2377,2.3158,0.191,1.0,-0.274987274658843
15/9-F-1 A,3446.0,8.625,87.3187,33.313,0.2353,2.3098,0.1944,0.9618,-0.21524010533599505
15/9-F-1 A,3446.1,8.6249,87.6034,39.4609,0.2346,2.309,0.1949,0.7935,-0.12234075588839138
15/9-F-1 A,3446.2,8.5781,87.9051,40.6409,0.2349,2.3133,0.1924,0.6739,-0.11086644403327607
15/9-F-1 A,3446.3,8.578,88.2064,41.5707,0.2354,2.3248,0.1859,0.636,-0.127727153775795
15/9-F-1 A,3446.4,8.547,88.3544,43.7888,0.2375,2.3443,0.1747,0.6104,-0.1468495635521573
15/9-F-1 A,3446.5,8.5782,88.0768,45.8987,0.2403,2.3714,0.1593,0.6349,-0.14666689499766478
15/9-F-1 A,3446.6,8.625,87.7993,46.7942,0.2421,2.4024,0.1415,0.6691,-0.14363367634075203
15/9-F-1 A,3446.7,8.625,87.4861,47.533,0.2438,2.4332,0.1239,0.7447,-0.13394907599072503
15/9-F-1 A,3446.8,8.6251,87.0447,50.6431,0.2412,2.4606,0.1083,0.9005,-0.1173616383039613
15/9-F-1 A,3446.9,8.6719,86.6032,49.6992,0.2315,2.4821,0.0959,1.0,-0.11131515334030107
15/9-F-1 A,3447.0,8.6718,86.2,49.0361,0.2222,2.4967,0.0876,1.0,-0.11013827874181155
15/9-F-1 A,3447.1,8.6485,85.9838,50.4159,0.2161,2.504,0.0834,1.0,-0.10840679565103485
15/9-F-1 A,3447.2,8.6719,85.7675,52.1439,0.2079,2.5012,0.085,1.0,-0.12971317100740865
15/9-F-1 A,3447.3,8.6717,85.572,54.3085,0.2098,2.485,0.0942,1.0,-0.18535293054814392
15/9-F-1 A,3447.4,8.6015,85.5257,55.4773,0.2146,2.4574,0.11,0.9989,-0.2201871368294196
15/9-F-1 A,3447.5,8.5781,85.4794,58.4265,0.2161,2.4252,0.1284,0.9337,-0.17770112873763355
15/9-F-1 A,3447.6,8.5781,85.4228,59.6856,0.2163,2.3942,0.1461,0.8692,-0.13318119707395185
15/9-F-1 A,3447.7,8.5781,85.2368,59.5284,0.217,2.3661,0.1622,0.7415,-0.14002155835797916
15/9-F-1 A,3447.8,8.578,85.0508,60.642,0.2199,2.338,0.1782,0.6536,-0.16870625562299038
15/9-F-1 A,3447.9,8.5468,84.8621,61.8973,0.2256,2.3087,0.195,0.6251,-0.1996266451086505
15/9-F-1 A,3448.0,8.5235,84.5738,58.2046,0.2304,2.2825,0.21,0.6543,-0.22665245801917694
15/9-F-1 A,3448.1,8.5467,84.2855,52.5207,0.2262,2.2653,0.2198,0.7709,-0.23225063265442014
15/9-F-1 A,3448.2,8.4688,83.9972,46.9618,0.2263,2.2577,0.2242,0.8723,-0.2508823376436777
15/9-F-1 A,3448.3,8.469,83.7055,43.1473,0.2236,2.2561,0.2251,0.9312,-0.29098458302788266
15/9-F-1 A,3448.4,8.5392,83.4137,39.294,0.2173,2.2558,0.2253,0.9458,-0.3358282946380691
15/9-F-1 A,3448.5,8.5781,83.1222,37.7254,0.2181,2.2554,0.2255,0.9407,-0.380176499542722
15/9-F-1 A,3448.6,8.5781,82.9751,34.7868,0.2204,2.2549,0.2258,0.931,-0.3915809486827146
15/9-F-1 A,3448.7,8.5781,82.8393,33.7568,0.2227,2.2546,0.2259,0.923,-0.3962062958630371
15/9-F-1 A,3448.8,8.5781,82.7037,33.4752,0.2239,2.2545,0.226,0.9293,-0.40197592766581036
15/9-F-1 A,3448.9,8.578,82.7078,31.1855,0.2236,2.2552,0.2256,0.9321,-0.3855246339096047
15/9-F-1 A,3449.0,8.547,82.731,31.1468,0.2248,2.2574,0.2243,0.935,-0.3621101834192095
15/9-F-1 A,3449.1,8.5781,82.7543,30.567,0.2224,2.2621,0.2217,0.922,-0.32624206345042334
15/9-F-1 A,3449.2,8.5781,82.8561,31.1013,0.2225,2.2698,0.2173,0.887,-0.2772838325115052
15/9-F-1 A,3449.3,8.5781,82.9737,32.9957,0.2233,2.28,0.2114,0.8387,-0.24810531195625268
15/9-F-1 A,3449.4,8.5781,83.0912,32.9447,0.2246,2.2921,0.2045,0.7872,-0.2204756566752101
15/9-F-1 A,3449.5,8.5781,83.1689,32.9652,0.2259,2.3071,0.196,0.7586,-0.1985962899826449
15/9-F-1 A,3449.6,8.578,83.2357,34.8597,0.2267,2.3257,0.1854,0.7367,-0.18091692425629732
15/9-F-1 A,3449.7,8.5469,83.3024,37.7331,0.2289,2.3477,0.1728,0.7425,-0.15033494452126722
15/9-F-1 A,3449.8,8.5471,83.3999,38.4151,0.2278,2.3716,0.1591,0.7643,-0.1180450286603995
15/9-F-1 A,3449.9,8.6015,83.5083,39.7171,0.2268,2.3944,0.1461,0.7942,-0.08809700395596709
15/9-F-1 A,3450.0,8.578,83.6164,41.3185,0.2328,2.4151,0.1343,0.8153,-0.05251726344308138
15/9-F-1 A,3450.1,8.5469,83.6321,42.0764,0.238,2.4333,0.1238,0.8252,-0.013049212141483421
15/9-F-1 A,3450.2,8.5627,83.6058,43.7637,0.2388,2.4494,0.1146,0.8429,0.0009110621312232843
15/9-F-1 A,3450.3,8.6251,83.5794,46.253,0.2382,2.4644,0.1061,0.8711,0.003632837004408289
15/9-F-1 A,3450.4,8.6718,83.5327,49.2477,0.2379,2.4788,0.0978,0.9155,-0.0006084382809090492
15/9-F-1 A,3450.5,8.625,83.4744,51.5474,0.2445,2.4914,0.0906,0.9875,-0.011039929609661969
15/9-F-1 A,3450.6,8.625,83.4159,57.1809,0.2487,2.4989,0.0863,1.0,-0.005506877116487644
15/9-F-1 A,3450.7,8.6251,83.2691,60.2223,0.251,2.4973,0.0873,1.0,0.04237859813987616
15/9-F-1 A,3450.8,8.6485,83.0613,62.4392,0.2466,2.4859,0.0938,1.0,0.022716980051030067
15/9-F-1 A,3450.9,8.6718,82.8537,65.5372,0.2413,2.469,0.1034,1.0,0.00791839064559897
15/9-F-1 A,3451.0,8.625,82.6753,69.4961,0.2374,2.4528,0.1127,1.0,-0.007490664932224502
15/9-F-1 A,3451.1,8.6251,82.5216,68.1018,0.2308,2.4432,0.1182,0.9727,-0.027704571388860427
15/9-F-1 A,3451.2,8.6485,82.368,67.9566,0.2224,2.4418,0.119,0.9528,-0.054876229877880586
15/9-F-1 A,3451.3,8.6719,82.2501,67.6831,0.219,2.446,0.1166,0.9609,-0.06844043290919477
15/9-F-1 A,3451.4,8.6718,82.1685,67.9498,0.2207,2.4496,0.1145,0.9873,-0.06996838504902705
15/9-F-1 A,3451.5,8.6249,82.0872,68.3478,0.2208,2.4471,0.1159,1.0,-0.09199779882744634
15/9-F-1 A,3451.6,8.578,82.1622,70.0043,0.225,2.438,0.1211,1.0,-0.1042460579262721
15/9-F-1 A,3451.7,8.5469,82.4295,71.7353,0.2273,2.4254,0.1283,1.0,-0.09935981601739968
15/9-F-1 A,3451.8,8.5627,82.6968,70.584,0.2315,2.4151,0.1342,1.0,-0.0694584701355656
15/9-F-1 A,3451.9,8.6251,82.9115,68.6446,0.2263,2.4108,0.1367,1.0,-0.05522131887649302
15/9-F-1 A,3452.0,8.6718,83.0473,67.6587,0.2227,2.4117,0.1362,1.0,-0.04114954832032165
15/9-F-1 A,3452.1,8.625,83.1832,64.5821,0.2169,2.4131,0.1354,1.0,-0.03503362516890203
15/9-F-1 A,3452.2,8.625,83.3282,59.2488,0.211,2.4095,0.1374,1.0,-0.10083635852278111
15/9-F-1 A,3452.3,8.6249,83.4897,53.7489,0.2059,2.3975,0.1443,1.0,-0.13930272594796114
15/9-F-1 A,3452.4,8.6015,83.651,47.0677,0.2044,2.3807,0.1539,1.0,-0.037251946641359494
15/9-F-1 A,3452.5,8.5782,83.7404,43.2499,0.2013,2.3675,0.1614,1.0,0.03846119617856366
15/9-F-1 A,3452.6,8.6016,83.6658,41.2127,0.1987,2.3646,0.1631,0.9085,0.040562785081311774
15/9-F-1 A,3452.7,8.6133,83.5911,40.8391,0.2039,2.3741,0.1577,0.8241,0.02714566577434137
15/9-F-1 A,3452.8,8.625,83.5168,40.7936,0.2108,2.3921,0.1474,0.8115,0.02926199580417523
15/9-F-1 A,3452.9,8.625,83.4437,43.7963,0.2164,2.4114,0.1363,0.8747,0.040364955860060475
15/9-F-1 A,3453.0,8.6251,83.3705,48.355,0.2166,2.4242,0.129,0.9109,0.05793222738060868
15/9-F-1 A,3453.1,8.6719,83.3017,53.979,0.2186,2.426,0.128,0.8535,0.08231852210804028
